# <seq_name> <frame.png> <n_obj> <zmin> <zmax>
# {"root": "E:/data_collect", "max_dist": 8.0, "mode": "all", "metric": "z", "min_z": 0.5, "max_objects": 0, "train_ratio": 0.8, "seed": 0}
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 71.3291.png 2 6.86 7.96
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 71.3958.png 2 6.91 7.20
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 71.4625.png 2 6.43 6.87
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 71.5292.png 2 5.68 6.73
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 71.5959.png 2 4.94 6.53
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 71.6626.png 2 4.26 6.27
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 71.7293.png 2 3.66 5.96
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 71.7960.png 2 3.13 5.61
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 71.8627.png 2 2.67 5.25
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 71.9294.png 2 2.28 4.88
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 71.9961.png 2 1.96 4.55
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 72.0628.png 2 1.70 4.32
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 72.1295.png 2 1.51 4.16
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 72.1962.png 2 1.37 4.10
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 72.2629.png 2 1.30 4.11
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 72.3296.png 2 1.27 4.20
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 72.3963.png 2 1.30 4.36
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 72.4630.png 2 1.38 4.58
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 72.5297.png 2 1.50 4.87
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 72.5964.png 2 1.67 5.20
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 72.6631.png 2 1.87 5.58
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 72.7298.png 2 2.12 5.99
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 72.7965.png 2 2.40 6.42
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 72.8632.png 2 2.71 6.82
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 72.9299.png 2 3.06 7.16
